,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
471,Ultimate French For Beginner - Complete DELF A1 Level,https://www.udemy.com/course/ultimate-french-for-beginner-complete-delf-a1-level/,Jignesh A Patel,4.2,85,14.5,113,Beginner,129.99,11.99,600
472,The Complete Psychology Entrance Course,https://www.udemy.com/course/psychology-mcq-master-course/,Scholarsight Learning,3.8,85,1.5,14,All Levels,129.99,11.99,850
473,Essay Writing 101: College Essays Made Easy,https://www.udemy.com/course/academic-writing-skills-for-university/,"Stephen Beale, Stuart Beale",4.1,85,2.0,28,All Levels,79.99,11.99,1535
474,Django A-Z: Build & Deploy Web Project With Python & Django,https://www.udemy.com/course/complete-django-masterclass/,Shubham Sarda,4.6,85,6.0,81,All Levels,129.99,11.99,1724
475,Complexity Theory: An Introduction,https://www.udemy.com/course/complex-systems-theory-an-introduction/,Systems Innovation,3.8,85,2.5,17,Beginner,34.99,11.99,591
476,Udemy Marketing: Boost Sales & SEO with YouTube - Unofficial,https://www.udemy.com/course/udemy-1-skyrocket-udemy-sales-with-youtube-unofficial/,Suppoman ™,4.5,85,44.0,7,All Levels,94.99,11.99,8238
477,Design of Experiments | DOE,https://www.udemy.com/course/design-of-experiments-experimental-design-doe/,Ali Suleiman,4.2,85,1.0,10,Beginner,89.99,11.99,202
478,GMAT® Math | Top 5 Question-Types 2019,https://www.udemy.com/course/gmat-math-top-5-question-types-2018/,"Néve Chen, NeatPrep",4.7,85,20.0,242,All Levels,0.0,199.99,446
479,Online Course Creation: Complete Course of Blunders to Avoid,https://www.udemy.com/course/online-course-creation-complete-course-of-blunders-to-avoid/,TJ Walker,3.0,84,1.0,19,Beginner,19.99,11.99,20651
480,Trigonometry: Your Complete Guide,https://www.udemy.com/course/master-graphing-trigonometric-functions/,Brian McLogan,4.9,84,8.0,82,All Levels,29.99,11.99,408
481,Classroom Management Essentials,https://www.udemy.com/course/classroom-management-essentials/,Tracey Garrett,4.6,84,2.0,28,All Levels,49.99,11.99,388
482,Metacognition & Self-Regulated Learning,https://www.udemy.com/course/metacognition/,The Global Metacognition Institute,4.3,84,3.0,11,All Levels,99.99,11.99,423
483,MATLAB/Simulink for Power System Simulations,https://www.udemy.com/course/matlab_simulink-for-power-system-simulations/,"Ricardo Romero, PE",4.6,84,4.5,19,All Levels,129.99,11.99,579
484,Famous Teachers: Part Two,https://www.udemy.com/course/famous-teachers-part-two/,Professor Anthony Barton,3.8,84,1.0,7,All Levels,19.99,11.99,3336
485,Learn Dutch for Beginners: The Ultimate 75-Lesson Course,https://www.udemy.com/course/learn-dutch-for-beginners/,Innovative Language,4.6,81,3.0,75,Beginner,24.99,11.99,0
486,Electrical Schematics (Industrial Controls),https://www.udemy.com/course/electrical-schematics-industrial-controls/,Iconic Educademy,4.2,81,2.5,41,Beginner,29.99,11.99,391
487,How To Memorize English Grammar Rules,https://www.udemy.com/course/english-grammar-rules/,"Anthony Metivier, Joshua - Professor Americano de Inglês",4.5,81,2.5,32,All Levels,129.99,11.99,959
488,Learn Chinese HSK 4 Intensive Reading Course H41001,https://www.udemy.com/course/learn-chinese-hsk-4-intensive-reading-course-h41001/,David Yao,4.4,81,17.5,85,Intermediate,129.99,11.99,0
489,Chemistry 101 - Part 2 Chemistry of the Elements,https://www.udemy.com/course/chemistry-101-part-2-chemistry-of-the-elements/,Graham Bray,4.5,80,2.0,7,Beginner,19.99,11.99,1059
490,Complete guide to Modern Mathematical Optimization in GAMS,https://www.udemy.com/course/gamsoptimization/,Optimization Team,4.1,80,3.0,23,All Levels,129.99,11.99,7831
491,24 Days to Multiplication Mastery,https://www.udemy.com/course/24-days-to-multiplication-mastery/,Huzefa Kapadia,4.5,80,1.0,25,All Levels,0.0,19.99,2668
492,Environmental Ecosystem and Natural Resources,https://www.udemy.com/course/natural-resources-water-hydrosphere/,LetsTute Make it Easy,3.8,80,1.5,15,All Levels,19.99,11.99,0
493,Electrical Transformers: Testing and Diagnostics,https://www.udemy.com/course/electrical-transformers-testing-and-diagnostics/,Mike L,4.2,80,4.0,17,Intermediate,129.99,11.99,5455
494,English Grammar: Pre-Intermediate Level,https://www.udemy.com/course/english-grammar-lower-intermediate/,Kate Ochsner,4.3,80,1.5,18,Intermediate,39.99,11.99,2209
495,Arabic Language | The Ultimate Arabic Course (Level 2) —2021,https://www.udemy.com/course/the-ultimate-arabic-course-level-1/,"Haytham Ibrahim, Prof.",4.8,80,15.5,57,All Levels,139.99,12.99,0
496,Revit Structure from Scratch,https://www.udemy.com/course/revit-structure-from-zero-to-expert/,Creative Engineering Center,3.9,80,9.5,96,All Levels,119.99,11.99,420
497,Hydrogen Powered Fuel Cell Electric Vehicle,https://www.udemy.com/course/hydrogen-powered-fuel-cell-electric-vehicle/,Ezenith Education,3.9,80,3.5,73,Intermediate,129.99,11.99,361
498,Last Minute Chinese - Ready for China in 2 Hours!!,https://www.udemy.com/course/survival-chinese-ready-for-china-in-2-hours/,Last Minute English: Francis Carlisle,4.1,80,2.0,61,Beginner,24.99,11.99,8476
